Correcto,Incorrecto,TipoError
burro,durrro,1
bajo,dajo,1
barco,barqo,1
bebe,debe,1
bombilla,dombilla,1
bañera,dañera,1
bebida,debida,1
barrer,darrer,1
bastón,dastón,1
botella,dotella,1
vaso,baso,2
vaca,baca,2
vela,bela,2
vino,bino,2
venado,benado,2
volar,bolar,2
vivir,bibir,2
viento,biento,2
vecino,besino,2
verde,berde,2
casa,zasa,3
cielo,sielo,3
zapato,sapato,3
cereza,seresa,3
zorro,sorro,3
cima,sima,3
cocer,coser,3
ciruela,siruela,3
cerro,serro,3
zanahoria,sanahoria,3
examen,esamen,4
éxito,ésito,4
exacto,esacto,4
experto,esperto,4
explicar,esplicar,4
explorar,esplorar,4
expreso,espreso,4
extraño,estraño,4
explosión,esplosión,4
excusa,escusa,4
jirafa,girafa,5
jugo,gugo,5
jabón,gabón,5
juguete,gugete,5
jarra,garra,5
jardinero,gardinero,5
jamón,gamón,5
jugar,gugar,5
huevo,uevo,6
hilo,ilo,6
hormiga,ormiga,6
hermano,ermano,6
hacer,acer,6
hora,ora,6
hacha,acha,6
hoja,oja,6
hielo,ielo,6
hombro,ombro,6
lluvia,yuvia,7
llama,yama,7
llorar,yorar,7
llegar,yegar,7
lleno,yeno,7
llanta,yanta,7
llavero,yavero,7
llanura,yanura,7
llamada,yamada,7
llover,yover,7
queso,keso,8
quinto,kinto,8
quema,kema,8
quitar,kitar,8
quedar,kedar,8
química,kímica,8
querer,kerer,8
chico,shico,9
chocolate,shocolate,9
chisme,shisme,9
mucho,musho,9
chino,shino,9
chiste,shiste,9
chancla,shancla,9
chorro,shorro,9
lechuga,leshuga,9
carro,caro,10
perro,pero,10
ratón,rratón,10
corre,core,10
tierra,tiera,10
cerrar,cerar,10
ferrocarril,ferocaril,10
barril,baril,10
herrero,herero,10
carreta,careta,10
niño,niñio,11
amigo,amigou,11
mamá,mama,11
mío,mio,11
día,dia,11
avión,abion,11
yoio,yoyo,11
solito,solyto,11
azul,asul,11
gato,guato,11
lápiz,lapiz,12
papá,papa,12
sofá,sofa,12
camión,camion,12
inglés,ingles,12
teléfono,telefono,12
ratón,raton,12
león,leon,12
corazón,corazon,12
canción,cancion,12
pelota,peloota,13
flor,fror,13
pan,ban,13
camino,camyno,13
mesa,meza,13
cama,caama,13
rojo,rrojo,13
goma,gamo,13
tigre,tirge,13
sol,los,13